Episode 167 | Reward -21.0 | Avg5 -19.6
Episode 168 | Reward -19.0 | Avg5 -19.4
Episode 169 | Reward -19.0 | Avg5 -19.2
Episode 170 | Reward -19.0 | Avg5 -19.0
Episode 171 | Reward -18.0 | Avg5 -19.2
Episode 172 | Reward -21.0 | Avg5 -19.2
Episode 173 | Reward -20.0 | Avg5 -19.4
Episode 174 | Reward -20.0 | Avg5 -19.6
Episode 175 | Reward -20.0 | Avg5 -19.8
Episode 176 | Reward -21.0 | Avg5 -20.4
Episode 177 | Reward -20.0 | Avg5 -20.2
Episode 178 | Reward -20.0 | Avg5 -20.2
Episode 179 | Reward -21.0 | Avg5 -20.4
Episode 180 | Reward -20.0 | Avg5 -20.4
Episode 181 | Reward -20.0 | Avg5 -20.2
Episode 182 | Reward -21.0 | Avg5 -20.4
Episode 183 | Reward -19.0 | Avg5 -20.2
Episode 184 | Reward -21.0 | Avg5 -20.2
Episode 185 | Reward -19.0 | Avg5 -20.0
Episode 186 | Reward -20.0 | Avg5 -20.0
Episode 187 | Reward -20.0 | Avg5 -19.8
Episode 188 | Reward -20.0 | Avg5 -20.0
Episode 189 | Reward -20.0 | Avg5 -19.8
Episode 190 | Reward -18.0 | Avg5 -19.6
Episode 191 | Reward -21.0 | Avg5 -19.8
Episode 192 | Reward -20.0 | Avg5 -19.8
Episode 193 | Reward -19.0 | Avg5 -19.6
Episode 194 | Reward -18.0 | Avg5 -19.2
Episode 195 | Reward -19.0 | Avg5 -19.4
Episode 196 | Reward -20.0 | Avg5 -19.2
Episode 197 | Reward -18.0 | Avg5 -18.8
Episode 198 | Reward -20.0 | Avg5 -19.0
Episode 199 | Reward -20.0 | Avg5 -19.4
Episode 200 | Reward -18.0 | Avg5 -19.2
Episode 201 | Reward -21.0 | Avg5 -19.4
Episode 202 | Reward -18.0 | Avg5 -19.4
Episode 203 | Reward -20.0 | Avg5 -19.4
Episode 204 | Reward -21.0 | Avg5 -19.6
Episode 205 | Reward -20.0 | Avg5 -20.0
Episode 206 | Reward -20.0 | Avg5 -19.8
Episode 207 | Reward -19.0 | Avg5 -20.0
Episode 208 | Reward -18.0 | Avg5 -19.6
Episode 209 | Reward -20.0 | Avg5 -19.4
Episode 210 | Reward -17.0 | Avg5 -18.8
Episode 211 | Reward -19.0 | Avg5 -18.6
Episode 212 | Reward -17.0 | Avg5 -18.2
Episode 213 | Reward -15.0 | Avg5 -17.6
Episode 214 | Reward -20.0 | Avg5 -17.6
Episode 215 | Reward -21.0 | Avg5 -18.4
Episode 216 | Reward -19.0 | Avg5 -18.4
Episode 217 | Reward -19.0 | Avg5 -18.8
Episode 218 | Reward -20.0 | Avg5 -19.8
Episode 219 | Reward -20.0 | Avg5 -19.8
Episode 220 | Reward -18.0 | Avg5 -19.2
Episode 221 | Reward -21.0 | Avg5 -19.6
Episode 222 | Reward -16.0 | Avg5 -19.0
Episode 223 | Reward -16.0 | Avg5 -18.2
Episode 224 | Reward -18.0 | Avg5 -17.8
Episode 225 | Reward -19.0 | Avg5 -18.0
Episode 226 | Reward -15.0 | Avg5 -16.8
Episode 227 | Reward -21.0 | Avg5 -17.8
Episode 228 | Reward -18.0 | Avg5 -18.2
Episode 229 | Reward -17.0 | Avg5 -18.0
Episode 230 | Reward -16.0 | Avg5 -17.4
Episode 231 | Reward -18.0 | Avg5 -18.0
Episode 232 | Reward -19.0 | Avg5 -17.6
Episode 233 | Reward -20.0 | Avg5 -18.0
Episode 234 | Reward -20.0 | Avg5 -18.6
Episode 235 | Reward -18.0 | Avg5 -19.0
Episode 236 | Reward -20.0 | Avg5 -19.4
Episode 237 | Reward -18.0 | Avg5 -19.2
Episode 238 | Reward -15.0 | Avg5 -18.2
Episode 239 | Reward -17.0 | Avg5 -17.6
Episode 240 | Reward -20.0 | Avg5 -18.0
Episode 241 | Reward -17.0 | Avg5 -17.4
Episode 242 | Reward -21.0 | Avg5 -18.0
Episode 243 | Reward -18.0 | Avg5 -18.6
Episode 244 | Reward -20.0 | Avg5 -19.2
Episode 245 | Reward -16.0 | Avg5 -18.4
Episode 246 | Reward -19.0 | Avg5 -18.8
Episode 247 | Reward -17.0 | Avg5 -18.0
Episode 248 | Reward -19.0 | Avg5 -18.2
Episode 249 | Reward -21.0 | Avg5 -18.4
Episode 250 | Reward -17.0 | Avg5 -18.6
Episode 251 | Reward -20.0 | Avg5 -18.8
Episode 252 | Reward -14.0 | Avg5 -18.2
Episode 253 | Reward -16.0 | Avg5 -17.6
Episode 254 | Reward -19.0 | Avg5 -17.2
Episode 255 | Reward -14.0 | Avg5 -16.6
Episode 256 | Reward -20.0 | Avg5 -16.6
Episode 257 | Reward -14.0 | Avg5 -16.6
Episode 258 | Reward -17.0 | Avg5 -16.8
Episode 259 | Reward -17.0 | Avg5 -16.4
Episode 260 | Reward -17.0 | Avg5 -17.0
Episode 261 | Reward -17.0 | Avg5 -16.4
Episode 262 | Reward -16.0 | Avg5 -16.8
Episode 263 | Reward -18.0 | Avg5 -17.0
Episode 264 | Reward -15.0 | Avg5 -16.6
Episode 265 | Reward -19.0 | Avg5 -17.0
Episode 266 | Reward -15.0 | Avg5 -16.6
Episode 267 | Reward -19.0 | Avg5 -17.2
Episode 268 | Reward -18.0 | Avg5 -17.2
Episode 269 | Reward -17.0 | Avg5 -17.6
Episode 270 | Reward -17.0 | Avg5 -17.2
Episode 271 | Reward -19.0 | Avg5 -18.0
Episode 272 | Reward -17.0 | Avg5 -17.6
Episode 273 | Reward -16.0 | Avg5 -17.2
Episode 274 | Reward -17.0 | Avg5 -17.2
Episode 275 | Reward -19.0 | Avg5 -17.6
Episode 276 | Reward -20.0 | Avg5 -17.8
Episode 277 | Reward -17.0 | Avg5 -17.8
Episode 278 | Reward -18.0 | Avg5 -18.2
Episode 279 | Reward -14.0 | Avg5 -17.6
Episode 280 | Reward -21.0 | Avg5 -18.0
Episode 281 | Reward -17.0 | Avg5 -17.4
Episode 282 | Reward -16.0 | Avg5 -17.2
Episode 283 | Reward -13.0 | Avg5 -16.2
Episode 284 | Reward -18.0 | Avg5 -17.0
Episode 285 | Reward -17.0 | Avg5 -16.2
Episode 286 | Reward -18.0 | Avg5 -16.4
Episode 287 | Reward -15.0 | Avg5 -16.2
Episode 288 | Reward -18.0 | Avg5 -17.2
Episode 289 | Reward -12.0 | Avg5 -16.0
Episode 290 | Reward -19.0 | Avg5 -16.4
Episode 291 | Reward -17.0 | Avg5 -16.2
Episode 292 | Reward -16.0 | Avg5 -16.4
Episode 293 | Reward -19.0 | Avg5 -16.6
Episode 294 | Reward -17.0 | Avg5 -17.6
Episode 295 | Reward -19.0 | Avg5 -17.6
Episode 296 | Reward -15.0 | Avg5 -17.2
Episode 297 | Reward -11.0 | Avg5 -16.2
Episode 298 | Reward -18.0 | Avg5 -16.0
Episode 299 | Reward -16.0 | Avg5 -15.8
Episode 0 | Reward -21.0 | Avg5 -21.0
Episode 1 | Reward -21.0 | Avg5 -21.0
Episode 2 | Reward -21.0 | Avg5 -21.0
